short_name,long_name,dob,club,overall,potential,value_eur,wage_eur,team_position,preferred_foot,influencer
F. Thauvin,Florian thauvin,1993-01-26,Olympique de Marseille,. 83   ,84,30500000,60000,RW,Left,False
Jorginho,lUIZ FRELLO FILHO JORGE,1991-12-20,Chelsea,. 83   ,84,29000000,140000,CDM,Right,False
G. Buffon,gIANLUIGI BUFFON,1978-01-28,Juventus,. 83   ,83,2600000,58000,SUB,Right,True
Casillas,iker casillas fernández,1981-05-20,FC Porto,. 83   ,83,2600000,11000,RES,Left,True
R. Jarstein,RUNE  ALMENNING JARSTEIN,1984-09-29,Hertha BSC,. 83   ,83,11500000,33000,GK,Right,False
V. Kompany,VINCENT KOMPANY,1986-04-10,RSC Anderlecht,. 83   ,83,12000000,31000,LCB,Right,True
Raúl Albiol,RAÚL ALBIOL TORTAJADA,1985-09-04,Villarreal CF,. 83   ,83,12000000,45000,RCB,Right,False
F. Quagliarella,fabio quagliarella,1983-01-31,Sampdoria,. 83   ,83,9500000,46000,ST,Right,False
K. Schmeichel,KASPER SCHMEICHEL,1986-11-05,Leicester City,. 83   ,83,15500000,82000,GK,Right,False
Falcao,Radamel falcao garcía zárate,1986-02-10,AS Monaco,. 83   ,83,16500000,64000,LS,Right,False
Miranda,JOÃO MIRANDA DE SOUZA FILHO,1984-09-07,Jiangsu Suning FC,. 83   ,83,9500000,32000,RCB,Right,False
C. Vela,carlos alberto vela garrido,1989-03-01,Los Angeles FC,. 83   ,83,24500000,17000,RW,Left,False
E. Garay,Ezequiel marcelo garay,1986-10-10,Valencia CF,. 83   ,83,16500000,48000,RCB,Right,False
Rui Patrício,RUI PEDRO DOS SANTOS PATRÍCIO,1988-02-15,Wolverhampton Wanderers,. 83   ,83,16500000,82000,GK,Left,False
R. Nainggolan,radja nainggolan,1988-05-04,Cagliari,. 83   ,83,22500000,51000,CAM,Right,False
E. Banega,Éver maximiliano david banega,1988-06-29,Sevilla FC,. 83   ,83,19500000,26000,RCM,Right,False
Diego Costa,DIEGO DA SILVA COSTA,1988-10-07,Atlético Madrid,. 83   ,83,25000000,80000,SUB,Right,True
S. Khedira,sAMI KHEDIRA,1987-04-04,Juventus,. 83   ,83,19500000,135000,RES,Right,False
David Luiz,david luiz moreira marinho,1987-04-22,Arsenal,. 83   ,83,16500000,105000,LCB,Right,True
M. Kruse,max kruse,1988-03-19,Fenerbahçe SK,. 83   ,83,23500000,105000,CAM,Left,False
J. Henderson,JORDAN BRIAN HENDERSON,1990-06-17,Liverpool,. 83   ,83,22000000,115000,RCM,Right,False
G. Sigurðsson,gylfi þór sigurðsson,1989-09-08,Everton,. 83   ,83,25500000,120000,CAM,Right,False
A. Ramsey,aaron ramsey,1990-12-26,Juventus,. 83   ,83,25500000,140000,SUB,Right,False
Illarramendi,asier illarramendi andonegi,1990-03-08,Real Sociedad,. 83   ,83,22000000,42000,RCM,Right,False
D. Blind,DALEY BLIND,1990-03-09,Ajax,. 83   ,83,22000000,31000,LDM,Left,False
L. Hrádecký,lukáš hrádecký,1989-11-24,Bayer 04 Leverkusen,. 83   ,83,18500000,67000,GK,Right,False
N. Otamendi,NICOLÁS HERNÁN OTAMENDI,1988-02-12,Manchester City,. 83   ,83,19000000,145000,SUB,Right,False
J. Cuadrado,juan cuadrado,1988-05-26,Juventus,. 83   ,83,22500000,135000,SUB,Right,False
I. Gueye,Idrissa gana gueye,1989-09-26,Paris Saint-Germain,. 83   ,83,22000000,100000,SUB,Right,False
K. Kampl,KEVIN KAMPL,1990-10-09,RB Leipzig,. 83   ,83,25500000,77000,CM,Right,False
Rodrigo,Rodrigo moreno machado,1991-03-06,Valencia CF,. 83   ,83,27000000,60000,LS,Left,False
C. Aránguiz,charles mariano aránguiz sandoval,1989-04-17,Bayer 04 Leverkusen,. 83   ,83,24000000,86000,LCM,Right,False
W. Ben Yedder,wissam ben yedder,1990-08-12,AS Monaco,. 83   ,83,27000000,67000,RS,Right,False
F. Acerbi,FRANCESCO ACERBI,1988-02-10,Lazio,. 83   ,83,19000000,64000,CB,Left,False
Danilo Pereira,DANILO LUÍS HÉLIO PEREIRA,1991-09-09,FC Porto,. 83   ,83,24000000,21000,LCM,Right,False
A. Kramarić,andrej kramarić,1991-06-19,TSG 1899 Hoffenheim,. 83   ,83,27000000,61000,LS,Right,False
Louri Beretta,LOURIVAL ADNAN BERETTA BARBOSA,1992-02-29,Atlético Mineiro,. 83   ,83,27500000,60000,ST,Right,False
Josué Chiamulera,josué durval chiamulera vaz,1992-02-29,Grêmio,. 83   ,83,23500000,43000,RCB,Right,False
Ronaldo Cabrais,RONALDO JAILSON CABRAIS PETRI,1992-02-29,Grêmio,. 83   ,83,27000000,51000,RM,Right,False
Oyarzabal,Mikel oyarzabal ugarte,1997-04-21,Real Sociedad,. 82   ,89,31000000,39000,LW,Left,False
L. Bailey,LEON BAILEY BUTLER,1997-08-09,Bayer 04 Leverkusen,. 82   ,88,30500000,65000,LM,Left,False
Gabriel Jesus,Gabriel fernando de jesus,1997-04-03,Manchester City,. 82   ,88,31000000,140000,SUB,Right,False
